SampleID	name	Sample-Identifier	Treatment	Floor	Stool_origin	Sex	RNA or DNA	Volume (ul)	Conc (ng/ul)	Organism	Sample Description	Plate 	Well
6739-OC-1	6739-OC-1_S1_kneaddata_cat.fastq_profile	1 Exp 48 M1 	Bleomycin	ABSL1	ABSL1	M	DNA	20	773.8	Mouse	Lung	96 well	A1
6739-OC-2	6739-OC-2_S1_kneaddata_cat.fastq_profile	2 Exp 49 M2	Saline 	ABSL1	ABSL1	M	DNA	20	821.8	Mouse	Lung	96 well	B1
6739-OC-3	6739-OC-3_S1_kneaddata_cat.fastq_profile	3 Exp 49 M3	Saline 	ABSL1	ABSL1	M	DNA	20	293.1	Mouse	Lung	96 well	C1
6739-OC-4	6739-OC-4_S1_kneaddata_cat.fastq_profile	4 Exp 49 M4	Saline 	ABSL1	ABSL1	M	DNA	20	465.1	Mouse	Lung	96 well	D1
6739-OC-5	6739-OC-5_S1_kneaddata_cat.fastq_profile	5 Exp 49 M5	Saline 	ABSL1	ABSL1	M	DNA	20	233.6	Mouse	Lung	96 well	E1
6739-OC-6	6739-OC-6_S1_kneaddata_cat.fastq_profile	6 Exp 49 F1	Saline 	ABSL1	ABSL1	F	DNA	20	407.9	Mouse	Lung	96 well	F1
6739-OC-7	6739-OC-7_S1_kneaddata_cat.fastq_profile	7 Exp 49 F2	Saline 	ABSL1	ABSL1	F	DNA	20	1.8	Mouse	Lung	96 well	G1
6739-OC-8	6739-OC-8_S1_kneaddata_cat.fastq_profile	8 Exp 49 F3	Saline 	ABSL1	ABSL1	F	DNA	20	810.4	Mouse	Lung	96 well	H1
6739-OC-9	6739-OC-9_S1_kneaddata_cat.fastq_profile	9 Exp #49 F4	Saline 	ABSL1	ABSL1	F	DNA	20	117.7	Mouse	Lung	96 well	A2
6739-OC-10	6739-OC-10_S1_kneaddata_cat.fastq_profile	10 Exp 48 F1	Bleomycin	ABSL2	ABSL2	F	DNA	20	510.2	Mouse	Lung	96 well	B2
6739-OC-11	6739-OC-11_S1_kneaddata_cat.fastq_profile	11 Exp 48 F2	Bleomycin	ABSL2	ABSL2	F	DNA	20	714.8	Mouse	Lung	96 well	C2
6739-OC-12	6739-OC-12_S1_kneaddata_cat.fastq_profile	12 Exp 48 F3	Bleomycin	ABSL2	ABSL2	F	DNA	20	705.7	Mouse	Lung	96 well	D2
6739-OC-13	6739-OC-13_S1_kneaddata_cat.fastq_profile	13 Exp 48 F4	Bleomycin	ABSL2	ABSL2	M	DNA	20	430.7	Mouse	Lung	96 well	E2
6739-OC-14	6739-OC-14_S1_kneaddata_cat.fastq_profile	14 Exp 48 M1	Bleomycin	ABSL2	ABSL2	M	DNA	20	745.7	Mouse	Lung	96 well	F2
6739-OC-15	6739-OC-15_S1_kneaddata_cat.fastq_profile	15 Exp 48 M2	Bleomycin	ABSL2	ABSL2	M	DNA	20	371.1	Mouse	Lung	96 well	G2
6739-OC-16	6739-OC-16_S1_kneaddata_cat.fastq_profile	16 Exp 48 M3	Bleomycin	ABSL2	ABSL2	M	DNA	20	1870	Mouse	Lung	96 well	H2
6739-OC-17	6739-OC-17_S1_kneaddata_cat.fastq_profile	17 Exp 48 M4	Bleomycin	ABSL2	ABSL2	M	DNA	20	94	Mouse	Lung	96 well	A3
6739-OC-18	6739-OC-18_S1_kneaddata_cat.fastq_profile	18 Exp 48 F2	Saline 	ABSL2 	ABSL2 	F	DNA	20	1081.9	Mouse	Lung	96 well	B3
6739-OC-19	6739-OC-19_S1_kneaddata_cat.fastq_profile	19 Exp 48 M2	Saline 	ABSL2	ABSL2	M	DNA	20	219.7	Mouse	Lung	96 well	C3
6739-OC-20	6739-OC-20_S1_kneaddata_cat.fastq_profile	20 Exp 35 F1	Bleomycin	ABSL1	ABSL1	F	DNA	20	516.6	Mouse	Lung	96 well	D3
6739-OC-21	6739-OC-21_S1_kneaddata_cat.fastq_profile	21 Exp 35 F2	Bleomycin	ABSL1	ABSL1	F	DNA	20	927.3	Mouse	Lung	96 well	E3
